Column Name,Label
DP03_0001E,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over
DP03_0002E,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force
DP03_0007E,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force
DP03_0032E,Estimate!!INDUSTRY!!Civilian employed population 16 years and over
DP03_0033E,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
DP03_0034E,Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction
DP03_0035E,Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing
DP03_0036E,Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade
DP03_0037E,Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade
DP03_0038E,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
DP03_0039E,Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information
DP03_0040E,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
DP03_0041E,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
DP03_0042E,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
DP03_0043E,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
DP03_0044E,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration"
DP03_0045E,Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration
DP03_0051E,Estimate!!INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Total households
DP03_0052E,"Estimate!!INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000"
DP03_0053E,"Estimate!!INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999"
